;Player;Base Price;TYPE;COST IN INR(Crores);Team
0;Shivam Mavi;4000000;BOWLER;6.0;Gujarat Titans
1;Joshua Little;5000000;BOWLER;4.4;Gujarat Titans
2;Kane Williamson;20000000;BATSMAN;2.0;Gujarat Titans
3;K.S. Bharat;2000000;WICKETKEEPER;1.2;Gujarat Titans
4;Mohit Sharma;5000000;BOWLER;0.5;Gujarat Titans
5;Odean Smith;5000000;ALL-ROUNDER;0.5;Gujarat Titans
6;Urvil Patel;2000000;WICKETKEEPER;0.2;Gujarat Titans
7;Rahul Tewatia;Retained;ALL-ROUNDER;0.0;Gujarat Titans
8;Pradeep Sangwan;Retained;ALL-ROUNDER;0.0;Gujarat Titans
9;Rashid Khan;Retained;BOWLER;0.0;Gujarat Titans
10;R. Sai Kishore;Retained;BOWLER;0.0;Gujarat Titans
11;Yash Dayal;Retained;BOWLER;0.0;Gujarat Titans
12;Noor Ahmad;Retained;BOWLER;0.0;Gujarat Titans
13;Wriddhiman Saha;Retained;WICKETKEEPER;0.0;Gujarat Titans
14;Vijay Shankar;Retained;ALL-ROUNDER;0.0;Gujarat Titans
15;Shubman Gill;Retained;BATSMAN;0.0;Gujarat Titans
16;Hardik Pandya;Retained;ALL-ROUNDER;0.0;Gujarat Titans
17;B. Sai Sudharsan;Retained;ALL-ROUNDER;0.0;Gujarat Titans
18;Alzarri Joseph;Retained;BOWLER;0.0;Gujarat Titans
19;Abhinav Sadarangani;Retained;BATSMAN;0.0;Gujarat Titans
20;Darshan Nalkande;Retained;ALL-ROUNDER;0.0;Gujarat Titans
21;David Miller;Retained;BATSMAN;0.0;Gujarat Titans
22;Matthew Wade;Retained;WICKETKEEPER;0.0;Gujarat Titans
23;Jayant Yadav;Retained;ALL-ROUNDER;0.0;Gujarat Titans
24;Mohammad Shami;Retained;BOWLER;0.0;Gujarat Titans
25;Ben Stokes;20000000;ALL-ROUNDER;16.25;Chennai Super Kings
26;Kyle Jamieson;10000000;BOWLER;1.0;Chennai Super Kings
27;Nishant Sindhu;2000000;ALL-ROUNDER;0.6;Chennai Super Kings
28;Ajinkya Rahane;5000000;BATSMAN;0.5;Chennai Super Kings
29;Bhagath Varma;2000000;ALL-ROUNDER;0.2;Chennai Super Kings
30;Ajay Mandal;2000000;ALL-ROUNDER;0.2;Chennai Super Kings
31;Shaik Rasheed;2000000;BATSMAN;0.2;Chennai Super Kings
32;Ravindra Jadeja;Retained;ALL-ROUNDER;0.0;Chennai Super Kings
33;Rajvardhan Hangargekar;Retained;ALL-ROUNDER;0.0;Chennai Super Kings
34;Prashant Solanki;Retained;BOWLER;0.0;Chennai Super Kings
35;Ruturaj Gaikwad;Retained;BATSMAN;0.0;Chennai Super Kings
36;Tushar Deshpande;Retained;BOWLER;0.0;Chennai Super Kings
37;Mukesh Choudhary;Retained;BOWLER;0.0;Chennai Super Kings
38;Subhranshu Senapati;Retained;BATSMAN;0.0;Chennai Super Kings
39;Simarjeet Singh;Retained;BOWLER;0.0;Chennai Super Kings
40;Shivam Dube;Retained;ALL-ROUNDER;0.0;Chennai Super Kings
41;Matheesha Pathirana;Retained;BOWLER;0.0;Chennai Super Kings
42;Devon Conway;Retained;BATSMAN;0.0;Chennai Super Kings
43;Deepak Chahar;Retained;BOWLER;0.0;Chennai Super Kings
44;Ambati Rayudu;Retained;BATSMAN;0.0;Chennai Super Kings
45;Dwaine Pretorius;Retained;ALL-ROUNDER;0.0;Chennai Super Kings
46;Maheesh Theekshana;Retained;BOWLER;0.0;Chennai Super Kings
47;Moeen Ali;Retained;ALL-ROUNDER;0.0;Chennai Super Kings
